TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,CFID,CFPARAMS,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,CFID,CFPARAMS
1610612766,"Charlotte Hornets",21,6,15,0.286,49.2,41.3,92.6,0.446,10.4,32.5,0.32,16.2,22.3,0.727,12.6,32.9,45.5,25.3,15.4,7.6,5,7.1,21,20.9,109.2,-6.2,18,26,26,26,1,15,3,29,27,17,29,28,20,26,5,17,6,12,22,9,14,30,18,13,26,27,10,"Charlotte Hornets",1610612764,"Washington Wizards",22,11,11,0.5,48.5,41.3,87.4,0.472,10.9,31.8,0.341,17,22,0.772,9.4,34.8,44.2,24.9,13.4,6.5,6,4.4,19.9,19.8,110.4,-1.1,5,14,14,16,9,16,19,13,25,21,20,23,21,20,22,3,10,13,5,27,4,7,10,23,21,22,10,"Washington Wizards"
1610612737,"Atlanta Hawks",22,12,10,0.545,48.5,43.1,92.6,0.465,9.6,29.6,0.325,18.1,21.9,0.827,11,33.6,44.6,23.8,13.2,7.4,4.9,5.3,20.2,21.5,113.9,0.4,5,9,10,11,9,6,4,19,30,29,27,18,24,4,13,10,9,21,3,13,17,21,13,9,13,14,10,"Atlanta Hawks",1610612743,"Denver Nuggets",21,14,7,0.667,48.2,43.2,86.7,0.498,12.5,30.9,0.404,16.6,22,0.755,10.5,33.1,43.6,28,15,7.1,4.4,4.5,19.7,20.2,115.4,2.3,18,4,4,4,17,4,21,2,9,26,2,27,23,24,16,15,15,4,18,17,21,10,7,20,9,7,10,"Denver Nuggets"
1610612738,"Boston Celtics",22,18,4,0.818,48.5,43.1,86.5,0.498,17,41.6,0.408,18.7,22,0.853,8,33.6,41.6,27.5,13.5,5.9,5.1,3.6,20.6,20.4,121.9,8.6,5,1,1,1,9,6,22,1,1,2,1,13,21,1,28,10,26,6,7,30,12,1,16,17,1,1,10,"Boston Celtics",1610612748,"Miami Heat",22,10,12,0.455,48.5,38.8,86,0.451,12,35.4,0.338,19.5,22.9,0.851,9.4,31.5,40.8,24.1,14.1,7.5,3.5,4.3,19.1,21.2,109,-1,5,20,21,21,9,29,23,25,14,9,21,8,19,2,23,26,27,18,9,10,29,6,2,11,27,21,10,"Miami Heat"
1610612751,"Brooklyn Nets",23,12,11,0.522,48.2,41.2,83.1,0.496,12,32,0.374,17.2,21.3,0.806,7.3,32.7,40,26.3,14.5,7,7.3,4,22.1,18.8,111.6,1,3,9,14,15,25,17,27,3,13,19,8,22,27,8,30,20,28,11,12,20,1,4,26,28,18,12,10,"Brooklyn Nets",1610612761,"Toronto Raptors",21,11,10,0.524,48.2,40.5,90.9,0.446,10.9,32.9,0.331,18.7,24,0.781,13,30.7,43.7,23.2,13,10.2,5.7,5.4,20.5,20.8,110.7,1.3,18,14,10,14,17,22,7,28,24,15,25,14,14,18,3,28,13,25,2,1,8,22,15,14,19,11,10,"Toronto Raptors"
1610612739,"Cleveland Cavaliers",22,14,8,0.636,49.1,40.7,84.9,0.48,12.1,31.5,0.385,19.3,24,0.806,10,33.7,43.7,23.8,15,6.2,4.1,4.5,19.8,22.8,112.9,6.9,5,4,5,5,2,21,24,8,12,22,3,10,13,7,17,6,12,21,16,28,25,11,9,2,15,3,10,"Cleveland Cavaliers",1610612753,"Orlando Magic",22,5,17,0.227,48.2,39.2,83.6,0.469,10.6,31.5,0.338,19.2,24.5,0.786,10,32.9,42.8,21.2,16.5,6.2,5.4,4.7,21.2,20.3,108.3,-6.1,5,29,29,30,21,23,25,16,26,22,22,11,9,15,18,16,21,30,28,28,10,14,21,19,28,26,10,"Orlando Magic"
1610612749,"Milwaukee Bucks",20,15,5,0.75,48.5,41,89.8,0.456,13,37.3,0.349,17.4,24.2,0.719,11.9,36.9,48.8,24.5,14.8,7,6.4,5,19.3,20.4,112.3,4.9,28,2,2,2,7,19,11,23,7,7,17,20,11,28,9,1,1,15,14,21,3,17,3,18,16,5,10,"Milwaukee Bucks",1610612747,"Los Angeles Lakers",20,8,12,0.4,48.3,41.4,88.7,0.466,9.9,30.4,0.324,20.6,25.6,0.803,9.7,36.2,45.8,24.3,15,6.9,5.3,5.5,19.1,21.6,113.1,-1.2,28,25,21,25,15,14,14,18,29,28,28,2,4,10,21,2,5,16,16,22,11,23,1,8,14,23,10,"Los Angeles Lakers"
1610612763,"Memphis Grizzlies",21,12,9,0.571,48.5,42.7,92.6,0.461,12.3,33.9,0.362,17.3,25,0.693,14,34.7,48.7,24.2,14.9,6.8,5.1,5.6,20.1,22.5,115,1,18,9,7,7,8,10,5,22,11,14,12,21,6,30,1,4,2,17,15,24,13,24,12,3,11,13,10,"Memphis Grizzlies",1610612755,"Philadelphia 76ers",22,12,10,0.545,48,39,82.5,0.472,11.8,32,0.369,18.6,23,0.808,8.1,31.7,39.9,23.3,14.3,8.5,4.6,5,19.4,19.1,108.3,2.2,5,9,10,11,27,28,30,12,17,19,10,15,18,6,27,25,29,24,10,3,20,16,4,27,28,8,10,"Philadelphia 76ers"
1610612759,"San Antonio Spurs",22,6,16,0.273,48.2,42.1,91.4,0.461,11.9,34.3,0.347,14.5,20,0.721,12.1,30.3,42.4,28.3,16.4,7.4,4.3,4.5,19.6,18.7,110.6,-10.3,5,26,27,27,21,12,6,21,16,12,19,30,29,27,7,29,24,2,27,13,23,9,6,29,20,30,10,"San Antonio Spurs",1610612740,"New Orleans Pelicans",21,13,8,0.619,48.7,43.5,89.5,0.486,11.5,30.4,0.379,18.5,23.6,0.786,11.6,33.6,45.2,27.1,15,8.8,4.4,5.2,19.6,19.8,117.1,6,18,6,5,6,4,2,12,5,19,27,5,16,15,16,11,9,7,8,18,2,21,20,5,24,4,4,10,"New Orleans Pelicans"
1610612756,"Phoenix Suns",21,15,6,0.714,48.2,43.3,90.8,0.477,12.3,32.9,0.375,16.8,20.6,0.815,11.7,31.8,43.5,27,13.4,7.4,5.9,4.3,21.8,20,115.8,7.4,18,2,3,3,17,3,8,9,10,15,7,26,28,5,10,24,16,9,4,12,6,5,24,22,7,2,10,"Phoenix Suns",1610612745,"Houston Rockets",21,5,16,0.238,48,38.8,87.7,0.442,12.7,36.1,0.351,19.6,25.3,0.776,13.3,32.8,46,21.8,18,7.7,4.9,6.2,21,22.4,109.8,-6.8,18,29,27,29,27,30,15,30,8,8,16,6,5,19,2,18,4,27,30,8,16,28,18,4,24,28,10,"Houston Rockets"
1610612762,"Utah Jazz",24,13,11,0.542,48.4,42.8,90,0.475,14.7,39.5,0.372,16.8,21.8,0.772,12.1,31.9,44,27.3,15.7,7.3,5,5.2,21.3,20.5,117,1.7,1,6,14,13,14,9,10,10,3,5,9,25,25,21,8,23,11,7,24,15,15,19,22,16,5,9,10,"Utah Jazz",1610612754,"Indiana Pacers",21,12,9,0.571,48,40.9,90.8,0.45,14.6,40.8,0.357,19.3,24.3,0.795,10.9,32.8,43.7,28,15.5,8,6.5,5.8,21.6,20.8,115.6,0.2,18,9,7,7,27,20,8,26,4,3,14,9,10,13,14,18,14,3,23,7,2,26,23,15,8,16,10,"Indiana Pacers"
1610612744,"Golden State Warriors",22,11,11,0.5,48.2,43.1,89.3,0.482,16.1,42.9,0.376,15.2,18.9,0.805,9.1,33.5,42.6,29.7,17.1,7.3,4,3.6,23,18.5,117.5,0.3,5,14,14,16,21,6,13,6,2,1,6,29,30,9,24,12,23,1,29,16,26,1,30,30,3,15,10,"Golden State Warriors",1610612741,"Chicago Bulls",21,9,12,0.429,48.2,41.1,87.4,0.471,10.2,28.9,0.354,19.5,23.5,0.832,9.9,33.1,43,24.5,14.6,7.5,5.4,6.1,20,19.8,112,-0.7,18,23,21,23,17,18,20,14,28,30,15,7,17,3,19,14,18,14,13,11,9,27,11,24,17,18,10,"Chicago Bulls"
