TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,CFID,CFPARAMS,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,CFID,CFPARAMS
1610612739,"Cleveland Cavaliers",18,12,6,0.667,49.4,41.7,85.5,0.487,12.5,31.4,0.398,19.7,24.6,0.801,10.1,34,44.1,24.9,15.4,5.9,4.3,4.4,20.4,23.6,115.5,7.9,9,2,3,3,1,13,24,5,9,24,2,7,9,9,18,10,16,14,19,28,22,11,13,1,8,1,10,"Cleveland Cavaliers",1610612757,"Portland Trail Blazers",18,10,8,0.556,48.3,38.7,83.1,0.466,12,31.6,0.38,19.7,25.4,0.777,10.4,32.1,42.5,23.5,16,7.1,4.1,4.7,19.2,22.1,109.2,-0.1,9,10,10,12,17,25,27,17,15,23,6,5,4,19,16,22,22,22,22,22,25,14,4,6,25,18,10,"Portland Trail Blazers"
1610612737,"Atlanta Hawks",18,11,7,0.611,48.6,43.7,94.4,0.463,9.3,28.8,0.322,17.8,21.4,0.834,11.5,34.1,45.6,24.2,12.9,7.3,4.9,5.7,20.4,21.7,114.4,0.5,9,5,5,5,7,3,2,20,29,30,27,18,25,3,10,9,5,18,2,16,17,23,13,9,11,13,10,"Atlanta Hawks",1610612758,"Sacramento Kings",17,10,7,0.588,48.3,43.1,87,0.496,14.1,37.9,0.373,19.6,25,0.786,7.8,33.2,41,28.1,14.9,7.2,2.9,4.4,21.2,21.6,120,3.2,24,10,5,9,15,4,19,1,5,6,10,8,5,15,28,14,26,4,15,20,30,9,19,10,1,6,10,"Sacramento Kings"
1610612738,"Boston Celtics",18,14,4,0.778,48.6,42.3,86.9,0.487,16.4,41.5,0.395,18.7,22.2,0.84,7.9,34.3,42.2,26.7,13.3,5.6,5.4,3.8,20.6,20.6,119.7,6.3,9,1,1,1,7,9,20,6,1,2,3,15,19,2,26,8,23,11,4,30,11,3,16,18,2,4,10,"Boston Celtics",1610612742,"Dallas Mavericks",17,9,8,0.529,48.6,38.5,82.9,0.465,13.4,39,0.344,18.8,25.5,0.735,8,30.7,38.7,20.7,12.6,8.3,3.2,5.1,20.6,23.2,109.2,2.8,24,16,10,16,5,28,28,18,6,5,20,14,2,26,25,28,30,30,1,4,29,16,15,2,24,7,10,"Dallas Mavericks"
1610612760,"Oklahoma City Thunder",18,7,11,0.389,49.1,44.4,94.8,0.468,12,34.4,0.349,16.1,20.9,0.771,11.6,32.6,44.1,25.2,13.6,7.9,6.4,5.9,22.6,19.4,116.9,-1.4,9,24,23,24,3,1,1,14,15,11,17,27,26,22,8,20,14,13,6,6,3,26,28,24,5,23,10,"Oklahoma City Thunder",1610612743,"Denver Nuggets",18,11,7,0.611,48.3,42.7,86.7,0.493,12.4,30.9,0.401,16.7,22.1,0.754,10.6,33.6,44.1,27.7,15.8,7.1,4.2,4.6,19.2,20.3,114.5,0.2,9,5,5,5,17,7,21,2,10,26,1,23,22,24,15,12,14,5,21,24,24,12,4,21,10,15,10,"Denver Nuggets"
1610612766,"Charlotte Hornets",19,5,14,0.263,49.3,41.3,93.2,0.444,10.5,33.1,0.317,16.3,22.2,0.732,12.5,32.9,45.4,25.3,15,7.7,5.3,7.1,21.6,20.7,109.4,-5.1,3,26,28,28,2,15,3,28,28,17,28,25,20,27,4,16,6,12,17,9,13,30,20,17,23,27,10,"Charlotte Hornets",1610612755,"Philadelphia 76ers",18,9,9,0.5,48,38.7,82.9,0.467,12.2,32.6,0.373,18.9,23.6,0.802,7.9,32.1,40,23,14.1,8.4,4.9,5,19.9,19.5,108.6,2,9,16,17,17,25,25,29,16,12,18,9,12,15,8,26,22,29,25,9,3,17,15,9,23,27,9,10,"Philadelphia 76ers"
1610612762,"Utah Jazz",20,12,8,0.6,48.5,42.8,90.9,0.47,14.8,39.5,0.374,17.1,21.9,0.783,12.3,31.9,44.2,27.7,16,7.5,5.1,5.4,21.8,20.9,117.4,2.3,1,2,10,8,13,6,7,13,4,4,8,21,23,16,6,24,13,7,22,12,15,20,24,13,4,8,10,"Utah Jazz",1610612765,"Detroit Pistons",20,5,15,0.25,48,38.7,87.8,0.44,10.9,32.5,0.334,22.1,27.9,0.79,11.4,31.4,42.8,21.5,14.1,6.7,4,6.7,23,22.3,110.2,-7.7,1,26,30,29,25,27,16,29,25,19,24,1,1,14,12,26,20,28,7,26,27,29,29,4,20,29,10,"Detroit Pistons"
1610612748,"Miami Heat",19,8,11,0.421,48.5,38.1,85.8,0.444,12.1,35.7,0.337,20.2,23.8,0.848,9.5,31.2,40.7,23.8,14.1,7.6,3.3,4.4,19.2,22.1,108.5,-1.1,3,22,23,23,12,30,23,27,14,8,23,2,13,1,21,27,27,21,8,10,28,10,3,7,28,20,10,"Miami Heat",1610612764,"Washington Wizards",18,10,8,0.556,48.6,40.7,87.1,0.467,11.1,32.1,0.346,15.8,20.5,0.772,9.3,35.9,45.2,24.8,14.3,6.1,6.2,4.3,19.6,19.2,108.4,-1.2,9,10,10,12,7,21,17,15,22,20,18,28,27,21,23,2,7,15,11,27,5,7,7,28,29,21,10,"Washington Wizards"
1610612754,"Indiana Pacers",17,10,7,0.588,48,40.9,89.5,0.457,15.1,40.8,0.369,18.9,23.8,0.797,11.2,32.4,43.6,28.3,16.4,7.5,6.7,5.7,21.7,20.5,115.9,1.8,24,10,5,9,25,16,12,23,3,3,12,13,14,12,14,21,17,3,25,13,2,25,22,19,7,10,10,"Indiana Pacers",1610612750,"Minnesota Timberwolves",18,10,8,0.556,48.3,42.3,87.1,0.486,11.3,33.9,0.333,18.4,23.6,0.781,9.8,34.6,44.3,27.3,16.6,8.1,5.6,3.7,21.9,20.9,114.3,0.7,9,10,10,12,17,9,18,7,21,14,25,16,16,18,19,6,11,9,26,5,8,2,27,12,12,12,10,"Minnesota Timberwolves"
1610612759,"San Antonio Spurs",19,6,13,0.316,48.3,41.8,90.2,0.464,12,34.1,0.352,14.4,20,0.718,11.4,30.3,41.7,28.5,17.1,7.3,4.4,4.3,19,18.7,110.1,-10.7,3,25,26,25,22,12,10,19,15,13,16,30,29,28,13,30,24,2,29,18,21,8,1,29,21,30,10,"San Antonio Spurs",1610612740,"New Orleans Pelicans",18,11,7,0.611,48.8,44.1,90.1,0.489,11.6,30.2,0.385,17.9,23.2,0.77,11.4,33.4,44.8,27.5,14.5,8.5,4.3,5.3,19.7,19.6,117.6,7,9,5,5,5,4,2,11,4,19,27,4,17,17,23,11,13,10,8,13,2,23,17,8,22,3,3,10,"New Orleans Pelicans"
1610612761,"Toronto Raptors",18,9,9,0.5,48.3,40.8,91.6,0.445,11,33.3,0.331,19.2,24.5,0.782,13.7,30.5,44.2,23.1,12.9,10.5,5.8,5.7,20.7,20.9,111.7,1.6,9,16,17,17,17,19,6,26,23,16,26,10,10,17,1,29,12,24,2,1,6,23,17,11,15,11,10,"Toronto Raptors",1610612751,"Brooklyn Nets",19,9,10,0.474,48.3,40.9,83.2,0.492,11.8,31.9,0.371,17.7,22.2,0.8,7.7,32.6,40.3,26.8,14.7,7.3,7.5,4,21.7,19.3,111.4,0.3,3,16,20,20,22,17,26,3,18,21,11,19,21,10,29,19,28,10,14,18,1,4,23,26,18,14,10,"Brooklyn Nets"
